pair_id,condition,condition_label,cue_type,variant,actual_person,candidate_person,is_correct,subject,prefix_text,full_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids,notes
phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,2p,False,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,3p,False,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,1s,False,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,2s,False,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,3s,True,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,1p,False,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,2p,False,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3s,3p,False,,Her gün okula ,Her gün okula gidiyor.,gidiyor,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,1s,False,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,2s,False,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,3s,False,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,1p,True,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,2p,False,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1p,3p,False,,Her gün okula ,Her gün okula gidiyoruz.,gidiyoruz,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,1s,False,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,2s,False,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,3s,False,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,1p,False,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,2p,True,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2p,3p,False,,Her gün okula ,Her gün okula gidiyorsunuz.,gidiyorsunuz,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,1s,False,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,2s,False,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,3s,False,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,1p,False,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,2p,False,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,3p,3p,True,,Her gün okula ,Her gün okula gidiyorlar.,gidiyorlar,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,1s,True,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyorum,Az önce geldim. Biraz dinleniyorum,C_multi_split,2,dinlen | iyorum,10316 | 1066,5,6,5 | 6,4 | 5,Az |  önce |  geldim | . |  Biraz |  dinlen | iyorum,11374 | 961 | 12957 | 14 | 10447 | 10316 | 1066,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,2s,False,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyorsun,Az önce geldim. Biraz dinleniyorsun,B_suffix_split,3,din | leniyor | sun,1527 | 6567 | 833,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldim | . |  Biraz |  din | leniyor | sun,11374 | 961 | 12957 | 14 | 10447 | 1527 | 6567 | 833,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,3s,False,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyor,Az önce geldim. Biraz dinleniyor,C_multi_split,2,din | leniyor,1527 | 6567,5,6,5 | 6,4 | 5,Az |  önce |  geldim | . |  Biraz |  din | leniyor,11374 | 961 | 12957 | 14 | 10447 | 1527 | 6567,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,1p,False,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyoruz,Az önce geldim. Biraz dinleniyoruz,C_multi_split,2,dinlen | iyoruz,10316 | 1158,5,6,5 | 6,4 | 5,Az |  önce |  geldim | . |  Biraz |  dinlen | iyoruz,11374 | 961 | 12957 | 14 | 10447 | 10316 | 1158,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,2p,False,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyorsunuz,Az önce geldim. Biraz dinleniyorsunuz,B_suffix_split,3,din | leniyor | sunuz,1527 | 6567 | 1711,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldim | . |  Biraz |  din | leniyor | sunuz,11374 | 961 | 12957 | 14 | 10447 | 1527 | 6567 | 1711,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1s,3p,False,,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.,dinleniyorum,dinleniyorlar,Az önce geldim. Biraz dinleniyorlar,C_multi_split,2,dinlen | iyorlar,10316 | 4880,5,6,5 | 6,4 | 5,Az |  önce |  geldim | . |  Biraz |  dinlen | iyorlar,11374 | 961 | 12957 | 14 | 10447 | 10316 | 4880,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,1s,False,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyorum,Az önce geldin. Biraz dinleniyorum,C_multi_split,2,dinlen | iyorum,10316 | 1066,5,6,5 | 6,4 | 5,Az |  önce |  geldin | . |  Biraz |  dinlen | iyorum,11374 | 961 | 19100 | 14 | 10447 | 10316 | 1066,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,2s,True,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyorsun,Az önce geldin. Biraz dinleniyorsun,B_suffix_split,3,din | leniyor | sun,1527 | 6567 | 833,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldin | . |  Biraz |  din | leniyor | sun,11374 | 961 | 19100 | 14 | 10447 | 1527 | 6567 | 833,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,3s,False,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyor,Az önce geldin. Biraz dinleniyor,C_multi_split,2,din | leniyor,1527 | 6567,5,6,5 | 6,4 | 5,Az |  önce |  geldin | . |  Biraz |  din | leniyor,11374 | 961 | 19100 | 14 | 10447 | 1527 | 6567,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,1p,False,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyoruz,Az önce geldin. Biraz dinleniyoruz,C_multi_split,2,dinlen | iyoruz,10316 | 1158,5,6,5 | 6,4 | 5,Az |  önce |  geldin | . |  Biraz |  dinlen | iyoruz,11374 | 961 | 19100 | 14 | 10447 | 10316 | 1158,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,2p,False,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyorsunuz,Az önce geldin. Biraz dinleniyorsunuz,B_suffix_split,3,din | leniyor | sunuz,1527 | 6567 | 1711,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldin | . |  Biraz |  din | leniyor | sunuz,11374 | 961 | 19100 | 14 | 10447 | 1527 | 6567 | 1711,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2s,3p,False,,Az önce geldin. Biraz ,Az önce geldin. Biraz dinleniyorsun.,dinleniyorsun,dinleniyorlar,Az önce geldin. Biraz dinleniyorlar,C_multi_split,2,dinlen | iyorlar,10316 | 4880,5,6,5 | 6,4 | 5,Az |  önce |  geldin | . |  Biraz |  dinlen | iyorlar,11374 | 961 | 19100 | 14 | 10447 | 10316 | 4880,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,1s,False,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyorum,Az önce geldi. Biraz dinleniyorum,C_multi_split,2,dinlen | iyorum,10316 | 1066,5,6,5 | 6,4 | 5,Az |  önce |  geldi | . |  Biraz |  dinlen | iyorum,11374 | 961 | 1806 | 14 | 10447 | 10316 | 1066,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,2s,False,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyorsun,Az önce geldi. Biraz dinleniyorsun,B_suffix_split,3,din | leniyor | sun,1527 | 6567 | 833,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldi | . |  Biraz |  din | leniyor | sun,11374 | 961 | 1806 | 14 | 10447 | 1527 | 6567 | 833,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,3s,True,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyor,Az önce geldi. Biraz dinleniyor,C_multi_split,2,din | leniyor,1527 | 6567,5,6,5 | 6,4 | 5,Az |  önce |  geldi | . |  Biraz |  din | leniyor,11374 | 961 | 1806 | 14 | 10447 | 1527 | 6567,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,1p,False,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyoruz,Az önce geldi. Biraz dinleniyoruz,C_multi_split,2,dinlen | iyoruz,10316 | 1158,5,6,5 | 6,4 | 5,Az |  önce |  geldi | . |  Biraz |  dinlen | iyoruz,11374 | 961 | 1806 | 14 | 10447 | 10316 | 1158,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,2p,False,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyorsunuz,Az önce geldi. Biraz dinleniyorsunuz,B_suffix_split,3,din | leniyor | sunuz,1527 | 6567 | 1711,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldi | . |  Biraz |  din | leniyor | sunuz,11374 | 961 | 1806 | 14 | 10447 | 1527 | 6567 | 1711,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_3s,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,3s,3p,False,,Az önce geldi. Biraz ,Az önce geldi. Biraz dinleniyor.,dinleniyor,dinleniyorlar,Az önce geldi. Biraz dinleniyorlar,C_multi_split,2,dinlen | iyorlar,10316 | 4880,5,6,5 | 6,4 | 5,Az |  önce |  geldi | . |  Biraz |  dinlen | iyorlar,11374 | 961 | 1806 | 14 | 10447 | 10316 | 4880,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,1s,False,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyorum,Az önce geldik. Biraz dinleniyorum,C_multi_split,2,dinlen | iyorum,10316 | 1066,5,6,5 | 6,4 | 5,Az |  önce |  geldik | . |  Biraz |  dinlen | iyorum,11374 | 961 | 8538 | 14 | 10447 | 10316 | 1066,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,2s,False,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyorsun,Az önce geldik. Biraz dinleniyorsun,B_suffix_split,3,din | leniyor | sun,1527 | 6567 | 833,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldik | . |  Biraz |  din | leniyor | sun,11374 | 961 | 8538 | 14 | 10447 | 1527 | 6567 | 833,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,3s,False,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyor,Az önce geldik. Biraz dinleniyor,C_multi_split,2,din | leniyor,1527 | 6567,5,6,5 | 6,4 | 5,Az |  önce |  geldik | . |  Biraz |  din | leniyor,11374 | 961 | 8538 | 14 | 10447 | 1527 | 6567,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,1p,True,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyoruz,Az önce geldik. Biraz dinleniyoruz,C_multi_split,2,dinlen | iyoruz,10316 | 1158,5,6,5 | 6,4 | 5,Az |  önce |  geldik | . |  Biraz |  dinlen | iyoruz,11374 | 961 | 8538 | 14 | 10447 | 10316 | 1158,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,2p,False,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyorsunuz,Az önce geldik. Biraz dinleniyorsunuz,B_suffix_split,3,din | leniyor | sunuz,1527 | 6567 | 1711,5,7,5 | 6 | 7,4 | 5 | 6,Az |  önce |  geldik | . |  Biraz |  din | leniyor | sunuz,11374 | 961 | 8538 | 14 | 10447 | 1527 | 6567 | 1711,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_1p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,1p,3p,False,,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.,dinleniyoruz,dinleniyorlar,Az önce geldik. Biraz dinleniyorlar,C_multi_split,2,dinlen | iyorlar,10316 | 4880,5,6,5 | 6,4 | 5,Az |  önce |  geldik | . |  Biraz |  dinlen | iyorlar,11374 | 961 | 8538 | 14 | 10447 | 10316 | 4880,Previous sentence has a finite predicate with matching person.
phase1_prior_predicate_person_2p,prior_predicate_person,Prior predicate person,finite_predicate,prior_predicate_person,2p,1s,False,,Az önce geldiniz. Biraz ,Az önce geldiniz. Biraz dinleniyorsunuz.,dinleniyorsunuz,dinleniyorum,Az önce geldiniz. Biraz dinleniyorum,C_multi_split,2,dinlen | iyorum,10316 | 1066,5,6,5 | 6,4 | 5,Az |  önce |  geldiniz | . |  Biraz |  dinlen | iyorum,11374 | 961 | 17334 | 14 | 10447 | 10316 | 1066,Previous sentence has a finite predicate with matching person.
